Car Model,Location,Price,Fuel,KM driven,Transmission
2014 Hyundai Xcent S 1.2,Thane West Thane,₹3.17 lakh,Petrol,"122,129 km",Manual
2024 Hyundai EXTER SX(O) CONNECT 1.2 AMT DUAL TONE,Thane West Thane Maharashtra,₹8.87 lakh,Petrol,"6,639 km",Automatic
2017 Hyundai Creta SX PLUS AT 1.6 PETROL,Mazgaon Mumbai Maharashtra,₹8.25 lakh,Petrol,"28,506 km",Automatic
2015 Hyundai Elite i20 SPORTZ 1.2,Bandra West Mumbai Maharashtra,₹3.99 lakh,Petrol,"10,456 km",Manual
2024 Hyundai Creta N Line N8 1.5 Turbo MT,Mulund West Mumbai Maharashtra,₹16 lakh,Petrol,"7,506 km",Manual
2015 Hyundai Xcent S (O) 1.2,Gokul Nagar Bhiwandi Maharashtra,₹3.12 lakh,Petrol,"71,115 km",Manual
2015 Hyundai i20 Active 1.2 S,Kandivali East Mumbai,₹5.43 lakh,Petrol,"39,665 km",Manual
2023 Hyundai Creta SX (O) IVT 1.5 PETROL,Mira Road East Mira Bhayandar Maharashtra,₹16.95 lakh,Petrol,"20,378 km",Automatic
2015 Hyundai Xcent S (O) 1.2,ठाणे वेस्ट ठाणे,₹3 lakh,Petrol,"103,807 km",Manual
2015 Hyundai Xcent SX AT 1.2 (O),Thane West Thane Maharashtra,₹3.6 lakh,Petrol,"74,262 km",Automatic
2010 Hyundai i10 ASTA 1.2 AT SUNROOF,Andheri East Mumbai,₹1.67 lakh,Petrol,"63,017 km",Automatic
2017 Hyundai Elite i20 ASTA 1.2 DUAL TONE,Dombivli East Mumbai Maharashtra,₹4.65 lakh,Petrol,"58,002 km",Manual
2016 Hyundai Xcent S 1.2,Kandivali East Mumbai,₹3.49 lakh,Petrol,"48,196 km",Manual
2013 Hyundai Verna FLUIDIC 1.6 CRDI SX OPT AT,Andheri West Mumbai,₹3.65 lakh,Diesel,"167,081 km",Automatic
2021 Hyundai Creta SX (O) IVT 1.5 PETROL,Sewri Mumbai Maharashtra,₹15.29 lakh,Petrol,"60,819 km",Automatic
2016 Hyundai Verna 1.6 VTVT SX AT,Chembur Mumbai Maharashtra,₹6.42 lakh,Petrol,"61,655 km",Automatic
2023 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Mira Road East Mira Bhayandar Maharashtra,₹6.94 lakh,Petrol,"67,420 km",Manual
2010 Hyundai i20 MAGNA 1.2,Kurar Village Mumbai,₹1.36 lakh,Petrol,"48,829 km",Manual
2016 Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,Sector 58A Seawoods Navi Mumbai,₹3.5 lakh,Petrol,"104,376 km",Automatic
2019 Hyundai VENUE SX PLUS 1.0 TURBO DCT,Thane West Thane,₹8.22 lakh,Petrol,"11,275 km",Automatic
2021 Hyundai NEW SANTRO SPORTZ CNG,Kandivali East Mumbai Maharashtra,₹4 lakh,Petrol,"51,219 km",Manual
2022 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Shahad Ulhasnagar Maharashtra,₹6.11 lakh,Petrol,"33,363 km",Manual
2021 Hyundai VENUE SX 1.0 TURBO IMT DUAL TONE SPORT,Kalwa Thane Maharashtra,₹6.45 lakh,Petrol,"52,122 km",Manual
2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Sion Mumbai Maharashtra,₹3.71 lakh,Petrol,"19,807 km",Manual
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Chembur Mumbai,₹4.09 lakh,Petrol,"28,684 km",Automatic
2013 Hyundai i20 SPORTZ 1.2,Thane West Thane Maharashtra,₹3.27 lakh,Petrol,"30,389 km",Manual
2021 Hyundai Creta EX 1.5 DIESEL,Nalasopara West Nala Sopara Maharashtra,₹11.4 lakh,Diesel,"90,245 km",Manual
2024 Hyundai AURA S 1.2 CNG,Dombivli East Dombivli Maharashtra,₹7.91 lakh,Petrol,"8,577 km",Manual
2015 Hyundai Xcent S 1.1 CRDI,Ulhasnagar Kalyan Maharashtra,₹3.64 lakh,Diesel,"82,714 km",Manual
2010 Hyundai Verna TRANSFORM 1.5 SX CRDI,Narpoli Bhiwandi Maharashtra,₹1.19 lakh,Diesel,"97,862 km",Manual
2023 Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,Powai Mumbai,₹8 lakh,Petrol,"12,782 km",Automatic
2016 Hyundai Creta SX 1.6 Petrol,Shirgaon Badlapur Maharashtra,₹6.22 lakh,Petrol,"68,190 km",Manual
2016 Hyundai Creta SX PLUS 1.6 PETROL,Malabar Hill Mumbai,₹6.45 lakh,Petrol,"82,568 km",Manual
2013 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,कांदिवली पश्चिम मुंबई महाराष्ट्र,₹3.15 lakh,Petrol,"21,477 km",Manual
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,Vile Parle West Mumbai Maharashtra,₹8.79 lakh,Petrol,"41,432 km",Automatic
2012 Hyundai i20 ASTA 1.4 AT,Powai Mumbai Maharashtra,₹2.69 lakh,Petrol,"40,431 km",Automatic
2019 Hyundai NEW SANTRO SPORTZ AMT,Andheri East Mumbai,₹3.79 lakh,Petrol,"63,784 km",Automatic
2019 Hyundai New Elantra 2.0 S PETROL,Mazgaon Mumbai,₹7.75 lakh,Petrol,"82,706 km",Manual
2014 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Kopar Khairane Navi Mumbai Maharashtra,₹3.4 lakh,Petrol,"41,051 km",Automatic
2022 Hyundai VENUE SX 1.5 CRDI,Dombivli East Dombivli,₹9.68 lakh,Diesel,"67,903 km",Manual
2024 Hyundai AURA SX 1.2 CNG,Navi Mumbai Mhatwali Maharashtra,₹8.1 lakh,Petrol,"27,004 km",Manual
2016 Hyundai Elite i20 ASTA 1.2 (O),Malad East Mumbai Maharashtra,₹4.1 lakh,Petrol,"62,148 km",Manual
2010 Hyundai i10 SPORTZ 1.2,Gaurav City Mira Bhayandar,₹1.02 lakh,Petrol,"102,018 km",Manual
2014 Hyundai Verna FLUIDIC 1.6 CRDI SX AT,Khadakpada Kalyan,₹3.9 lakh,Diesel,"78,849 km",Automatic
2021 Hyundai NEW SANTRO SPORTZ CNG,Dahisar East Mumbai Maharashtra,₹5.65 lakh,Petrol,"17,390 km",Manual
2018 Hyundai New Elantra 2.0 SX AT PETROL,Worli Mumbai,₹8.06 lakh,Petrol,"45,922 km",Automatic
2016 Hyundai Creta S 1.4 DIESEL,Jogeshwari West Mumbai,₹6.3 lakh,Diesel,"101,174 km",Manual
2015 Hyundai Creta S 1.6 PETROL,Malad East Mumbai Maharashtra,₹5.75 lakh,Petrol,"88,479 km",Manual
2014 Hyundai Santa Fe 4 WD AT,Dombivli West Dombivli,₹4.99 lakh,Diesel,"132,676 km",Automatic
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Andheri West Mumbai Maharashtra,₹4.86 lakh,Petrol,"39,882 km",Automatic
2012 Hyundai New Elantra 1.6 CRDI,Virar East Virar Maharashtra,₹3.73 lakh,Diesel,"100,146 km",Manual
2020 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Virar West Virar Maharashtra,₹4.5 lakh,Petrol,"43,769 km",Manual
2019 Hyundai VENUE SX (O) 1.5 CRDI,Kharghar Navi Mumbai Maharashtra,₹7.8 lakh,Diesel,"65,776 km",Manual
2017 Hyundai Verna 1.6 VTVT SX AT,Santacruz East Mumbai Maharashtra,₹6.27 lakh,Petrol,"39,824 km",Automatic
2023 Hyundai Verna 1.5 TURBO GDI MT SX,Sandor Vasai-Virar Maharashtra,₹11.5 lakh,Petrol,"18,153 km",Manual
2018 Hyundai NEW SANTRO MAGNA CNG,Panvel Navi Mumbai,₹3.53 lakh,Petrol,"66,367 km",Manual
2015 Hyundai Creta SX PLUS 1.6 PETROL,Kandivali West Mumbai,₹6.54 lakh,Petrol,"52,310 km",Manual
2023 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Taloja Navi Mumbai,₹6.2 lakh,Petrol,"40,728 km",Manual
2022 Hyundai VENUE S (O) 1.0 TURBO IMT,Patel Nagar New Delhi,₹8.6 lakh,Petrol,"3,678 km",Manual
2015 Hyundai Creta SX PLUS 1.6 DIESEL,Bholenath nagar 523J+8X Thane Maharashtra,₹7.25 lakh,Diesel,"102,468 km",Manual
2018 Hyundai Creta S 1.4 DIESEL,Thane West Thane,₹8.5 lakh,Diesel,"48,125 km",Manual
2021 Hyundai VENUE SX PLUS 1.0 TURBO DCT,Mumbai Thane Maharashtra,₹8.46 lakh,Petrol,"46,976 km",Automatic
2017 Hyundai Xcent BASE 1.1,Khadakpada Kalyan Maharashtra,₹3.52 lakh,Diesel,"156,113 km",Manual
2015 Hyundai Creta SX 1.6 DIESEL,Borivali Mumbai Maharashtra,₹7.09 lakh,Diesel,"112,000 km",Manual
2019 Hyundai Creta SX AT 1.6 PETROL,Kharghar Navi Mumbai Maharashtra,₹9.5 lakh,Petrol,"114,066 km",Automatic
2020 Hyundai VENUE SX 1.0 (O) TURBO,Navi Mumbai Shilottar Raichur Maharashtra,₹7 lakh,Petrol,"44,614 km",Manual
2016 Hyundai i20 Active 1.2 S,Mumbai Andheri Maharashtra,₹4.25 lakh,Petrol,"73,702 km",Manual
2021 Hyundai ALCAZAR 1.5 SIGNATURE (O) AT 6STR,Mulund East Mumbai Maharashtra,₹16.62 lakh,Diesel,"37,328 km",Automatic
2019 Hyundai Creta SX AT 1.6 PETROL,Kandivali West Mumbai,₹9.4 lakh,Petrol,"83,474 km",Automatic
2022 Hyundai Creta S PLUS 1.4 TURBO DCT,Santacruz East Mumbai Maharashtra,₹14.68 lakh,Petrol,"34,423 km",Automatic
2023 Hyundai Verna SX 1.5 l MPI,Thane West Thane Maharashtra,₹10.75 lakh,Petrol,"18,038 km",Manual
2019 Hyundai Creta SX AT 1.6 PETROL,Wadala East Mumbai Maharashtra,₹8.85 lakh,Petrol,"46,486 km",Automatic
2022 Hyundai Creta SX (O) AT 1.5 DIESEL,CBD Belapur Navi Mumbai Maharashtra,₹16.95 lakh,Diesel,"41,826 km",Automatic
2019 Hyundai XCENT PRIME T VTVT PLUS CNG,Ulwe Navi Mumbai Maharashtra,₹3.96 lakh,Petrol,"160,068 km",Manual
2023 Hyundai Verna SX (O) 1.5 VTVT IVT,Zone 3 Mumbai Suburban Maharashtra,₹16 lakh,Petrol,"9,071 km",Automatic
2021 Hyundai NEW I20 SPORTZ 1.2 AT,Sandor Vasai-Virar Maharashtra,₹7.19 lakh,Petrol,"19,909 km",Automatic
2020 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,Panvel Navi Mumbai Maharashtra,₹5.76 lakh,Petrol,"25,865 km",Manual
2019 Hyundai VENUE SX (O) 1.5 CRDI,SH54 Navi Mumbai Maharashtra,₹8.96 lakh,Diesel,"103,970 km",Manual
2020 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Thane West Thane Maharashtra,₹4.36 lakh,Petrol,"23,715 km",Manual
2024 Hyundai EXTER SX 1.2 CNG MT,CBD Belapur Navi Mumbai Maharashtra,₹8.01 lakh,Petrol,"6,503 km",Manual
2022 Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,Sector 18 Gurugram,₹8.73 lakh,Petrol,"51,637 km",Automatic
2023 Hyundai Verna SX(O) 1.5 MPI IVT,Ulwe Navi Mumbai Maharashtra,₹14.5 lakh,Petrol,"3,115 km",Automatic
2017 Hyundai Creta SX PLUS 1.6 PETROL,Anjur Sarang,₹7 lakh,Petrol,"40,563 km",Manual
2014 Hyundai i20 ASTA 1.2,"Mulund West, Mumbai",₹3.32 lakh,Petrol,"44,895 km",Manual
2019 Hyundai VENUE S 1.0 TURBO DCT,"Korum Mall, Thane West",₹6.91 lakh,Petrol,"46,208 km",Automatic
2015 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"Regency Anantam, Dombivli East",₹3.17 lakh,Petrol,"63,637 km",Automatic
2017 Hyundai Elite i20 ASTA 1.2 (O),Thakur Village Kandivali E Mumbai,₹4.54 lakh,Petrol,"27,186 km",Manual
2020 Hyundai Creta SX (O) 1.4 TURBO DCT,"Mulund West, Mumbai",₹11.26 lakh,Petrol,"60,175 km",Automatic
2015 Hyundai Xcent SX 1.2 (O),"Korum Mall, Thane West",₹3.45 lakh,Petrol,"57,407 km",Manual
2016 Hyundai Grand i10 MAGNA 1.1 CRDI,"Mulund West, Mumbai",₹4.1 lakh,Diesel,"33,372 km",Manual
2019 Hyundai NEW SANTRO SPORTZ AMT,"Regency Anantam, Dombivli East",₹4.05 lakh,Petrol,"56,261 km",Automatic
