Car Model,Location,Price,Fuel,KM driven,Transmission
2021 Hyundai AURA SX 1.2,"Korum Mall, Thane West",₹5.85 lakh,Petrol,"13,104 km",Manual
2018 Hyundai New Elantra 2.0 SX(O) AT PETROL,"Mulund West, Mumbai",₹7.42 lakh,Petrol,"93,341 km",Automatic
2015 Hyundai i10 MAGNA 1.1,"Mulund West, Mumbai",₹2.57 lakh,Petrol,"76,630 km",Manual
2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT DUAL TONE,"Goregaon, Mumbai",₹3.85 lakh,Petrol,"46,099 km",Manual
2018 Hyundai Xcent S 1.2,"Goregaon, Mumbai",₹4.5 lakh,Petrol,"100,881 km",Manual
2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"Mulund West, Mumbai",₹3.68 lakh,Petrol,"47,592 km",Manual
2023 Hyundai AURA SX 1.2,"Goregaon, Mumbai",₹6.85 lakh,Petrol,"7,288 km",Manual
2015 Hyundai Elite i20 SPORTZ 1.2 (O),"Goregaon, Mumbai",₹3.89 lakh,Petrol,"73,898 km",Manual
2022 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"Regency Anantam, Dombivli East",₹5.57 lakh,Petrol,"28,068 km",Manual
2023 Hyundai NEW I20 N LINE N8 1.0 TURBO DCT,"Regency Anantam, Dombivli East",₹9.81 lakh,Petrol,"18,996 km",Automatic
2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"Korum Mall, Thane West",₹3.65 lakh,Petrol,"58,285 km",Manual
2012 Hyundai Eon SPORTZ,Powai Mumbai Maharashtra,₹1.4 lakh,Petrol,"43,869 km",Manual
2013 Hyundai i10 MAGNA 1.1,Pancharatna Complex 2WXQ+GX Mumbai Maharashtra,₹1.83 lakh,Petrol,"31,484 km",Manual
2013 Hyundai Verna FLUIDIC 1.6 VTVT EX,Kandivali East Mumbai Maharashtra,₹2.92 lakh,Petrol,"14,404 km",Manual
2013 Hyundai i20 MAGNA 1.2,Kandivali West Mumbai Maharashtra,₹3.52 lakh,Petrol,"21,806 km",Manual
2011 Hyundai i20 ASTA 1.2,Kharghar Navi Mumbai Maharashtra,₹1.4 lakh,Petrol,"88,618 km",Manual
2011 Hyundai i20 SPORTZ 1.4 CRDI,Sector 32 Gurugram,₹1.65 lakh,Diesel,"76,146 km",Manual
2019 Hyundai Elite i20 MAGNA PLUS 1.2,Kandivali West Mumbai Maharashtra,₹4.74 lakh,Petrol,"23,438 km",Manual
2017 Hyundai Verna 1.6 VTVT SX O,Navare Nagar Ambernath Maharashtra,₹5.93 lakh,Petrol,"77,191 km",Manual
2018 Hyundai Elite i20 MAGNA EXECUTIVE 1.2,Antop Hill Mumbai Maharashtra,₹3.83 lakh,Petrol,"41,688 km",Manual
2015 Hyundai i10 MAGNA 1.1,Thane East Thane Maharashtra,₹2.73 lakh,Petrol,"62,661 km",Manual
2016 Hyundai Elite i20 SPORTZ 1.2,Khadakpada Kalyan Maharashtra,₹3.58 lakh,Petrol,"67,896 km",Manual
2011 Hyundai Verna FLUIDIC 1.6 VTVT SX,Santosh Nagar Kalyan Maharashtra,₹1.82 lakh,Petrol,"63,304 km",Manual
2011 Hyundai i20 SPORTZ 1.2,Kandivali West Mumbai Maharashtra,₹1.61 lakh,Petrol,"71,203 km",Manual
2016 Hyundai Creta SX PLUS 1.6 PETROL,Kandivali East Mumbai Maharashtra,₹6.52 lakh,Petrol,"44,499 km",Manual
2010 Hyundai i10 ASTA 1.2,Bhandup West Mumbai Maharashtra,₹1.23 lakh,Petrol,"78,517 km",Manual
2010 Hyundai i20 ASTA 1.2,Sanpada Navi Mumbai Maharashtra,₹1.39 lakh,Petrol,"104,801 km",Manual
2021 Hyundai NEW I20 SPORTZ 1.2 MT,Syndicate Kalyan Maharashtra,₹5.79 lakh,Petrol,"21,417 km",Manual
2019 Hyundai NEW SANTRO SPORTZ CNG,Kailash Colony Ulhasnagar Maharashtra,₹3.6 lakh,Petrol,"67,125 km",Manual
2015 Hyundai Elite i20 ASTA 1.2,Khadakpada Kalyan Maharashtra,₹3.73 lakh,Petrol,"75,830 km",Manual
2017 Hyundai Verna 1.6 VTVT SX (O) AT,Khar West Mumbai,₹7.54 lakh,Petrol,"23,780 km",Automatic
2013 Hyundai i20 SPORTZ 1.2,Powai Mumbai Maharashtra,₹2.09 lakh,Petrol,"32,560 km",Manual
2015 Hyundai Elite i20 ASTA 1.4 CRDI,Mumbra Thane Maharashtra,₹4.24 lakh,Diesel,"153,594 km",Manual
2013 Hyundai i20 ASTA 1.2,N.M Joshi Marg Lower Parel Mumbai,₹1.86 lakh,Petrol,"82,775 km",Manual
