Car_Name,KM driven,Year,Fuel,Transmission,Price,Location
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"46,043",2020,Petrol,Manual,5.05,Mumbai
Hyundai ALCAZAR PRESTIGE 1.5 TURBO PETROL MT 7STR,"22,730",2023,Petrol,Manual,14.61,Mumbai
Hyundai AURA SX 1.2,"13,104",2021,Petrol,Manual,5.85,Thane West
Hyundai New Elantra 2.0 SX(O) AT PETROL,"93,341",2018,Petrol,Automatic,7.42,Mumbai
Hyundai i10 MAGNA 1.1,"76,630",2015,Petrol,Manual,2.57,Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT DUAL TONE,"46,099",2018,Petrol,Manual,3.85,Mumbai
Hyundai Xcent S 1.2,"100,881",2018,Petrol,Manual,4.5,Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"47,592",2016,Petrol,Manual,3.68,Mumbai
Hyundai AURA SX 1.2,"7,288",2023,Petrol,Manual,6.85,Mumbai
Hyundai Elite i20 SPORTZ 1.2 (O),"73,898",2015,Petrol,Manual,3.89,Mumbai
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"28,068",2022,Petrol,Manual,5.57,Dombivli East
Hyundai NEW I20 N LINE N8 1.0 TURBO DCT,"18,996",2023,Petrol,Automatic,9.81,Dombivli East
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"58,285",2016,Petrol,Manual,3.65,Thane West
Hyundai Eon SPORTZ,"43,869",2012,Petrol,Manual,1.4,Mumbai Maharashtra
Hyundai i10 MAGNA 1.1,"31,484",2013,Petrol,Manual,1.83,Mumbai Maharashtra
Hyundai Verna FLUIDIC 1.6 VTVT EX,"14,404",2013,Petrol,Manual,2.92,Mumbai Maharashtra
Hyundai i20 MAGNA 1.2,"21,806",2013,Petrol,Manual,3.52,Mumbai Maharashtra
Hyundai i20 ASTA 1.2,"88,618",2011,Petrol,Manual,1.4,Mumbai Maharashtra
Hyundai i20 SPORTZ 1.4 CRDI,"76,146",2011,Diesel,Manual,1.65,32 Gurugram
Hyundai Elite i20 MAGNA PLUS 1.2,"23,438",2019,Petrol,Manual,4.74,Mumbai Maharashtra
Hyundai Verna 1.6 VTVT SX O,"77,191",2017,Petrol,Manual,5.93,Ambernath Maharashtra
Hyundai Elite i20 MAGNA EXECUTIVE 1.2,"41,688",2018,Petrol,Manual,3.83,Mumbai Maharashtra
Hyundai i10 MAGNA 1.1,"62,661",2015,Petrol,Manual,2.73,Thane Maharashtra
Hyundai Elite i20 SPORTZ 1.2,"67,896",2016,Petrol,Manual,3.58,Kalyan Maharashtra
Hyundai Verna FLUIDIC 1.6 VTVT SX,"63,304",2011,Petrol,Manual,1.82,Kalyan Maharashtra
Hyundai i20 SPORTZ 1.2,"71,203",2011,Petrol,Manual,1.61,Mumbai Maharashtra
Hyundai Creta SX PLUS 1.6 PETROL,"44,499",2016,Petrol,Manual,6.52,Mumbai Maharashtra
Hyundai i10 ASTA 1.2,"78,517",2010,Petrol,Manual,1.23,Mumbai Maharashtra
Hyundai i20 ASTA 1.2,"104,801",2010,Petrol,Manual,1.39,Mumbai Maharashtra
Hyundai NEW I20 SPORTZ 1.2 MT,"21,417",2021,Petrol,Manual,5.79,Kalyan Maharashtra
Hyundai NEW SANTRO SPORTZ CNG,"67,125",2019,Petrol,Manual,3.6,Ulhasnagar Maharashtra
Hyundai Elite i20 ASTA 1.2,"75,830",2015,Petrol,Manual,3.73,Kalyan Maharashtra
Hyundai Verna 1.6 VTVT SX (O) AT,"23,780",2017,Petrol,Automatic,7.54,West Mumbai
Hyundai i20 SPORTZ 1.2,"32,560",2013,Petrol,Manual,2.09,Mumbai Maharashtra
Hyundai Elite i20 ASTA 1.4 CRDI,"153,594",2015,Diesel,Manual,4.24,Thane Maharashtra
Hyundai i20 ASTA 1.2,"82,775",2013,Petrol,Manual,1.86,Parel Mumbai
Hyundai i10 SPORTZ 1.2 AT,"74,277",2013,Petrol,Automatic,1.94,Bhayandar Maharashtra
Hyundai AURA S 1.2 CNG,"53,216",2021,Petrol,Manual,5,Ulhasnagar Maharashtra
Hyundai i20 SPORTZ 1.2,"61,903",2012,Petrol,Manual,2.49,Mumbai Maharashtra
Hyundai i10 SPORTZ 1.2,"46,285",2012,Petrol,Manual,1.61,Navi Mumbai
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"75,599",2020,Petrol,Manual,3.99,Paisar Barabanki
Hyundai NEW I20 SPORTZ 1.2 IVT,"15,175",2024,Petrol,Automatic,8.49,West Mumbai
Hyundai Eon MAGNA +,"35,122",2014,Petrol,Manual,1.66,Virar Maharashtra
Hyundai Creta E 1.5 PETROL,"5,398",2024,Petrol,Manual,11.77,Lohegaon Pune
