Car_Name,KM driven,Year,Fuel,Transmission,Price,Location
Hyundai i10 SPORTZ 1.1,"40,105",2015,Petrol,Manual,2.6,Mumbai Maharashtra
Hyundai NEW SANTRO MAGNA CNG,"70,061",2018,Petrol,Manual,3.28,West Mumbai
Hyundai i20 ASTA 1.2,"103,332",2011,Petrol,Manual,1.79,Mumbai Maharashtra
Hyundai Eon ERA +,"29,197",2014,Petrol,Manual,1.93,Mumbai Maharashtra
Hyundai Elite i20 SPORTZ 1.2,"63,781",2016,Petrol,Manual,3.87,Mumbai Maharashtra
Hyundai i10 MAGNA 1.2,"20,311",2011,Petrol,Manual,1.08,Mumbai Maharashtra
Hyundai New Elantra 1.8 SX MT VTVT,"40,594",2013,Petrol,Manual,3.37,Mumbai Maharashtra
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"21,094",2022,Petrol,Manual,6.31,West Mumbai
Hyundai i20 SPORTZ 1.2,"99,306",2011,Petrol,Manual,1.57,Nagar Ambernath
Hyundai i20 SPORTZ 1.4 CRDI,"95,383",2010,Diesel,Manual,2,East Mumbai
Hyundai i20 ASTA 1.2,"62,004",2012,Petrol,Manual,2.53,Mumbai Maharashtra
Hyundai i20 MAGNA 1.2,"68,216",2011,Petrol,Manual,1.36,East Mumbai
Hyundai i10 SPORTZ 1.2,"30,883",2011,Petrol,Manual,1.71,Mumbai Maharashtra
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"20,583",2019,Petrol,Manual,3.95,West Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"40,250",2015,Petrol,Manual,3.24,Mumbai Maharashtra
Hyundai Verna FLUIDIC 1.6 CRDI SX,"143,192",2011,Diesel,Manual,2.31,Navi Mumbai
Hyundai Elite i20 SPORTZ 1.2,"58,969",2017,Petrol,Manual,4.5,Mumbai Maharashtra
Hyundai AURA S 1.2 CNG,"20,006",2024,Petrol,Manual,7.17,Thane Maharashtra
Hyundai Verna FLUIDIC 1.6 CRDI SX AT,"233,237",2015,Diesel,Automatic,3.88,West Thane
Hyundai Verna FLUIDIC 1.6 VTVT EX,"90,691",2013,Petrol,Manual,3.38,Ambernath Maharashtra
Hyundai i20 ASTA 1.2,"103,579",2010,Petrol,Manual,0.92,Mumbai Maharashtra
Hyundai i10 MAGNA 1.1,"41,397",2012,Petrol,Manual,1.39,Virar Maharashtra
Hyundai i20 MAGNA 1.2,"33,180",2013,Petrol,Manual,2.87,Navi Mumbai
Hyundai i10 SPORTZ 1.2,"46,169",2011,Petrol,Manual,1.62,Mumbai Maharashtra
Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"160,981",2017,Petrol,Automatic,3.49,Pada Bhiwandi
Hyundai Xcent SX 1.2 (O),"71,071",2015,Petrol,Manual,3.62,Thane Maharashtra
Hyundai Santro Xing GL PLUS (CNG),"86,858",2012,Petrol,Manual,1.23,Nagar Muzaffarnagar
Hyundai i10 SPORTZ 1.2,"86,660",2010,Petrol,Manual,0.89,Colony Saharanpur
Hyundai Verna FLUIDIC 1.6 EX CRDI AT,"110,248",2013,Diesel,Automatic,3.47,Navi Mumbai
Hyundai Xcent SX 1.2,"36,033",2015,Petrol,Manual,3.61,Kalyan Maharashtra
Hyundai Elite i20 ASTA 1.4 CRDI,"84,506",2014,Diesel,Manual,3.6,Ahore Ahore
Hyundai Xcent SX 1.2,"106,017",2016,Petrol,Manual,3.7,Mumbai Maharashtra
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"79,754",2015,Petrol,Manual,2.9,Parel Mumbai
Hyundai i10 SPORTZ 1.2,"44,366",2011,Petrol,Manual,1.56,Thane Maharashtra
Hyundai i20 MAGNA (O) 1.2,"31,720",2014,Petrol,Manual,2.7,West Mumbai
Hyundai i20 SPORTZ 1.2,"107,051",2013,Petrol,Manual,2.38,Mumbai Maharashtra
Hyundai Verna 1.5 TURBO GDI MT SX,"18,300",2023,Petrol,Manual,12,Vasai-Virar Maharashtra
Hyundai Verna FLUIDIC 1.6 VTVT SX,"87,000",2011,Petrol,Manual,2,Mumbai Maharashtra
Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"66,321",2017,Petrol,Automatic,4.76,West Mumbai
Hyundai i20 ASTA 1.2,"51,005",2013,Petrol,Manual,2.93,Kalyan Maharashtra
Hyundai VENUE SX PLUS 1.0 TURBO DCT,"36,438",2020,Petrol,Automatic,7.59,Thane Maharashtra
Hyundai Creta SX PLUS AT 1.6 DIESEL,"153,845",2016,Diesel,Automatic,8.23,Mumbai Maharashtra
Hyundai Xcent S 1.2,"44,015",2014,Petrol,Manual,3.27,West Thane
Hyundai Xcent S 1.1 CRDI,"61,481",2014,Diesel,Manual,3.28,Mumbai Maharashtra
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"103,917",2018,Petrol,Manual,3.43,Colony Ulhasnagar
Hyundai Creta SX PLUS 1.6 PETROL,"59,225",2017,Petrol,Manual,7.87,Dhara Kalyan
Hyundai Verna 1.6 CRDI SX,"95,613",2015,Diesel,Manual,5.12,Navi Mumbai
Hyundai Xcent E+,"56,613",2018,Petrol,Manual,3.99,38 Gurugram
Hyundai Verna 1.6 VTVT SX (O) AT,"49,497",2018,Petrol,Automatic,7.25,Mumbai Maharashtra
Hyundai Xcent S 1.2,"95,267",2014,Petrol,Manual,3.5,Mumbai Maharashtra
Hyundai Elite i20 SPORTZ 1.2,"53,353",2015,Petrol,Manual,3.9,Mumbai Maharashtra
Hyundai Xcent S (O) 1.2,"75,162",2015,Petrol,Manual,3.37,Mumbai Maharashtra
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"51,551",2015,Petrol,Manual,3.75,Mumbai Maharashtra
Hyundai i10 SPORTZ 1.2 AT,"70,834",2011,Petrol,Automatic,1.29,East Mumbai
Hyundai Xcent S 1.2,"122,129",2014,Petrol,Manual,3.17,West Thane
Hyundai EXTER SX(O) CONNECT 1.2 AMT DUAL TONE,"6,639",2024,Petrol,Automatic,8.87,Thane Maharashtra
Hyundai Creta SX PLUS AT 1.6 PETROL,"28,506",2017,Petrol,Automatic,8.25,Mumbai Maharashtra
Hyundai Elite i20 SPORTZ 1.2,"10,456",2015,Petrol,Manual,3.99,Mumbai Maharashtra
Hyundai Creta N Line N8 1.5 Turbo MT,"7,506",2024,Petrol,Manual,16,Mumbai Maharashtra
Hyundai Xcent S (O) 1.2,"71,115",2015,Petrol,Manual,3.12,Bhiwandi Maharashtra
Hyundai i20 Active 1.2 S,"39,665",2015,Petrol,Manual,5.43,East Mumbai
Hyundai Creta SX (O) IVT 1.5 PETROL,"20,378",2023,Petrol,Automatic,16.95,Bhayandar Maharashtra
Hyundai Xcent S (O) 1.2,"103,807",2015,Petrol,Manual,3,वेस्ट ठाणे
Hyundai Xcent SX AT 1.2 (O),"74,262",2015,Petrol,Automatic,3.6,Thane Maharashtra
Hyundai i10 ASTA 1.2 AT SUNROOF,"63,017",2010,Petrol,Automatic,1.67,East Mumbai
Hyundai Elite i20 ASTA 1.2 DUAL TONE,"58,002",2017,Petrol,Manual,4.65,Mumbai Maharashtra
